Customer,Line,Version
Samsung,S4,3.00.127.5
Samsung,S3,3.00.129.5
Samsung,17L,3.00.130
Samsung,P2,3.00.127.5
Samsung,1L,3.00.130
Samsung,ERD,3.00.127.5
Samsung,12L,3.00.127.5
Samsung,11L,3.00.129.5
Samsung,S1A,3.00.126
Samsung,S1B,3.00.126
Samsung,S1C,3.00.126
Samsung,U2,3.00.100
Samsung,15L,3.00.122
Samsung,15BL,3.00.122
Samsung,V2,3.00.130
Samsung,SRD,3.00.122
Samsung,16L,3.00.125
Samsung,P1F,3.00.128
Samsung,P-PJT,3.00.122
Samsung,P1D,3.00.130
Samsung,16-2L,3.00.125
SKHynix,M11,3.00.130
SKHynix,M15,3.00.126
SKHynix,R3,3.00.129.5
SKHynix,M10A,3.00.130
SKHynix,M10F,3.00.129.5
SKHynix,M14PH1,3.00.130
SKHynix,M14PH2,3.00.130
SKHynix,M16,3.00.130
